2025-07-15 09:12:42,774 INFO    MainThread:3979762 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_setup.py:_flush():70] Configure stats pid to 3979762
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_setup.py:_flush():70] Loading settings from /home/haolu/.config/wandb/settings
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_setup.py:_flush():70] Loading settings from /data/jcxy/haolu/workspace/frameworks/X-R1/wandb/settings
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /data/jcxy/haolu/workspace/frameworks/X-R1/wandb/run-20250715_091242-n9caibhj/logs/debug.log
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /data/jcxy/haolu/workspace/frameworks/X-R1/wandb/run-20250715_091242-n9caibhj/logs/debug-internal.log
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:init():852] calling init triggers
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:init():893] starting backend
2025-07-15 09:12:42,775 INFO    MainThread:3979762 [wandb_init.py:init():897] sending inform_init request
2025-07-15 09:12:42,776 INFO    MainThread:3979762 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-15 09:12:42,777 INFO    MainThread:3979762 [wandb_init.py:init():907] backend started and connected
2025-07-15 09:12:42,778 INFO    MainThread:3979762 [wandb_init.py:init():1005] updated telemetry
2025-07-15 09:12:42,781 INFO    MainThread:3979762 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
